Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4106;2003_4;250;97,67790932
gebrauchte Eigenheime;4106;2004_1;138;97,75932501
gebrauchte Eigenheime;4106;2004_2;211;98,04230502
gebrauchte Eigenheime;4106;2004_3;237;96,9058077
gebrauchte Eigenheime;4106;2004_4;275;95,70330099
gebrauchte Eigenheime;4106;2005_1;164,5;95,96401742
gebrauchte Eigenheime;4106;2005_2;216,5;96,19829636
gebrauchte Eigenheime;4106;2005_3;293;96,15143656
gebrauchte Eigenheime;4106;2005_4;341,5;96,03149894
gebrauchte Eigenheime;4106;2006_1;124,5;95,5197644
gebrauchte Eigenheime;4106;2006_2;171,5;95,64055582
gebrauchte Eigenheime;4106;2006_3;200;96,02755763
gebrauchte Eigenheime;4106;2006_4;212;95,85427267
gebrauchte Eigenheime;4106;2007_1;213;95,3233258
gebrauchte Eigenheime;4106;2007_2;222;94,78976747
gebrauchte Eigenheime;4106;2007_3;184;94,48856266
gebrauchte Eigenheime;4106;2007_4;219,5;94,75810531
gebrauchte Eigenheime;4106;2008_1;198;94,99316552
gebrauchte Eigenheime;4106;2008_2;252;95,40338443
gebrauchte Eigenheime;4106;2008_3;212,5;95,19470546
gebrauchte Eigenheime;4106;2008_4;202;93,84120511
gebrauchte Eigenheime;4106;2009_1;132;94,18895782
gebrauchte Eigenheime;4106;2009_2;195;95,76121877
gebrauchte Eigenheime;4106;2009_3;190,5;97,63980904
gebrauchte Eigenheime;4106;2009_4;191;99,79422843
gebrauchte Eigenheime;4106;2010_1;167;100
